Тип изделия,Номер ТУ,"tпер.макс, °С","tсниж, °С",Примечание,СВЧ Диапазон,Группа изделия,Подгруппа изделия
2С108А – С,аА0.339.436ТУ,135,65,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С109Б – Г,аА0.339.453ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С109А-1 – Г-1,аА0.339.454ТУ,150,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С111А – В,аА0.339.548ТУ,135,65,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С112А – В,аА0.339.548ТУ,125,–,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С113А,СМ3.362.816ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С113А1,СМ3.362.816ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С117А – П,аА0.339.736ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С119А,СМ3.362.816ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С119А1,СМ3.362.816ТУ,125,–,- 60°С ≤ t ≤+125°С Рмакс постоянная,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С120А – Д,АЕЯР.432120.042ТУ,135,65,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С122А – Е,АЕЯР.432120.063ТУ,125,65,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С123А – Е,АЕЯР.432120.067ТУ,130,60,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С124Д-1,аА0.339.092ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С124Д-1Н,"аА0.339.092ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С127Д-1,аА0.339.092ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С127Д-1Н,"аА0.339.092ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С130Д-1,аА0.339.092ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С130Д-1Н,"аА0.339.092ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С133Д-1,аА0.339.092ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С133Д-1Н,"аА0.339.092ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С136Д-1,аА0.339.092ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С136Д-1Н,"аА0.339.092ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С139Д-1,аА0.339.092ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С139Д-1Н,"аА0.339.092ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С143Д-1,аА0.339.092ТУ,125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
2С143Д-1Н,"аА0.339.092ТУ, РМ 11091.926",125,35,,"Приборы полупроводниковые, кроме приборов СВЧ диапазона",Стабилитроны,
